,score,comment
97,10.0, خیلی استاد خوب و مهربونی هستن و به دانشجو احترام میزارن
98,10.0, استاد بااخلاقی هستند و بسیار خوش برخورد
99,10.0, امتحان پایان ترم ایشون ندارن برای درس ورزش ۱ باید ارائه بدیم برای درس تربیت بدنی هم هرکی کلاس هارو کامل اومد ۲۰ دادن
100,4.5, تو این درسا گزینه های بهتری هم هست با یکی دیگه بردارین امتحانش واقعا سخته
101,7.166666666666667, نمره خوب میخواید به شدت باید فعال باشید درس بخونید و‌کارکلاسی انجام بدید و کارگروهی هم باید تحویل بدید که شامل ۱۰سوال هست که هر جلسه میدن
102,7.833333333333333, استاد خوبیه ، میتونه جز اولویت ها اولتون باشه روی قرائت خیلی مانور نمیده ، ولی امتحان کتبی ممکنه ۱ الی ۲ نمره کمتر از چیزی که گرفتی بده
103,9.666666666666666, واقعا استاد خوبی هستن هر درسی ارائه دادن حتما با ایشون بردارید 😍😍😍
104,1.1666666666666667, ** بد
105,4.833333333333333, بد
106,9.666666666666666, خیلی استاددلسوزیه و برای پایان ترم صفحات مهم رومشخص میکنه
107,9.166666666666666, بسیار استاد خوش اخلاق و عالی هستند.
108,10.0, ایشون بسیار با شخصیت و دلسوز و با درک هستن. خیلی دانشجو رو درک میکنن. با فعال بودن و فرستادن تکالیف به راحتی میشه ۲۰ گرفت ازشون
109,9.5, استاد خوبی هستن به نظرم. تمام سوالات امتحان رو بهمون دادن که بخونیم و سوالات امتحانشون هم منصفانه و از همون سوالای خودشون بود
110,5.666666666666667, با این کرونا شاید کسی نمیتونسته تمرینی بده ولی خونده برای امتحان چرا باید از ۸ نمره گرفته بشه با این همه سخت گیری؟! 
111,9.5, استاد خیلی شوخی هستند و البته دلسوز حتما باهاشون بردارید تایمی که دارید اصلا ازش خسته نمیشید خیلی خوبه در کل
112,8.833333333333334, استاد خیلی خوبی هستن ، حتما سعی کنید باهاشون بردارید چون بسیار دقیق و منظم هستن
113,9.333333333333334, عالیههه عالییی. خیلیی استاد مهربونیه نمره دادنشم عالیه یه عالمه ارفاق میکنه حتماا بردارین باهاش
114,7.0, حضور اصلا براش مهم نیست و کلاس رو با یک نفر هم تشکیل میده و اگه فقط یک نفر هم کلاساشو بره ولی امتحانو خراب کنه باز میندازتش
115,3.5, اصلا براش مهم نیست که یاد گرفتی یانه .همه چیو پخش و پلا و نصفه درس میده یه سری مباحث رو هم اضافه درس میده و تو امتحانش میاد
116,5.666666666666667, نمره خوبی نمیشه گرفت ، خیلی تمرین و مسئله برای حل میدن و نمره فعالیت ها کم است .  و بسیار سختگیر هستن
117,6.0, استاد خوبیه ولی بخاطر مجازی بودن نهاد و کنفرانس داشتیم و سخت بود . البته ۱۰ نمره کلاس رو این کارا داشت . در کل بخوام بگم اوکیه.
118,2.6666666666666665, اگه اعصابتون براتون مهمه و میخواید که توی درستوت پیشرفت کنید به هیچ عنوان این استاد رو انتخاب نکنید
119,1.0, تورو خدا با این استاد درس بر ندارید میندازتتون یا نهایت با ۱۰ پاس میشین 
120,10.0, عالییی هستن
121,5.666666666666667, اخر ترم صدوچهل تا سوال دادن که بخونیم برای امتحان و اصلا امتحانو صحیح نمیکنن فردای امتحان به کل کلاس از دم پونزده داد
122,7.0, *** تقریبا  هرچی خودت بگیریه ولی بد نمره میده. امتحانش تستی بود و ارائه خواست کلاسش خسته کننده است خوب درس نمیده
123,4.333333333333333, پروژه ۵ نمره ای بهمون دادن و هیچ کمکی در این پروژه به ما نکردن. حضور غیاب و حل تمرین هم ۵ نمره داشت.
124,10.0, یکی از باشخصیت ترین اساتید تهران مرکز هستن ایشون واقعا در انتخابشون شک نکنید👌
125,9.666666666666666, پیشنهاد میکنم حتما با ایشان کلاس بردارید
126,10.0, بسیار عالی
127,1.3333333333333333, بین دانشجوها زیاد فرق میزارن و لهجه ی خوبی هم ندارند
128,1.0, آدم منطقی نیستند و هیچ جوره نمیشه باهاشون کنار اومد اصلا با ایشون برندارید
129,8.5, شاید خیلیا ازش بد بگن ولی واقعا تا جایی ک بتونه کسیو نمیندازه و راه میاد.و اگه جزوه و نکاتی ک سرکلاس میگه خونده شه راحت میشه امتحانشو داد
130,9.0, خیلی استاد خوبی هستن و واقعا به پیشنهادات بچه ها احترام میزارن و اگه هم اشتباهی بکنن خودشون مستقیما عذرخواهی میکنن
131,9.166666666666666, نزدیک به امتحان که میشه اصلا پاسخگو نیستن به دانشجوهااا
132,9.833333333333334, اصلا کلاسشون خشک نیس فقط تدریس نمیکنن درس اخلاق هم میدن وکلاس خیلی جنبه خوبی داره
133,6.666666666666667, اصلا به دانشجو ها جزوه ایی ندادن و میگفتن که باید خودمون بنویسیم سر امتحان خیلی اذیت شدیم واقعا چون حوزه همه ناقص بود
134,1.6666666666666667, اصلا درس رو نفهمیدیم یهو میدیدیم وسط کلاس گوشیشون زنگ میخورد میرفت ۱ ساعت باتلفن حرف میزد و میکروفون رو قطع نمیکرد
135,9.166666666666666, اول هر کلاس کوییز میگیرن و اینا ۱۰ نمره ترم هست ولی خیلی پیگیر دانشجو هستن و پاس میکنن اگه بتونن
136,10.0, خیلی استاد باحالی هستن اگه میتونین بردارین باهاشون
137,5.666666666666667, سختگیر و ***
138,9.5, خیلی استاد خوبی هستن و اصلا دانشجو رو اذیت نمیکنن اگه درس جواب بدی اخر ترم نمره اضافه میکنن
139,9.0, استاد خوبی هست و با ارفاق صحیح میکنه من ۱۹ گرفتم
140,1.6666666666666667, یکی از بدترین کلاسایی بود که داشتم کلا یک کتاب مرجع رو باز میکردن و فقط از رو اون میگفتن و میرفتن جلو اصلا پیشنهاد نمیکنم
141,10.0, استاد خیلی‌خوب و محترمی هستن و جزوه هاشون هم کامل هست و به راحتی میتونید پاس شید
142,8.666666666666666, استاد خوبی هست و بسیار تسلط داره و اگر نفعمید درس رو تا ۱۰ بارم براتون توضیح میده ولی نمیرسه به اتمام جزوه
143,9.833333333333334, استاد خوبی هستن ولی بسیااار تمرین میدن و کل زنان کلاس رو باید باشید حدود ۲ ساعت 
144,9.833333333333334, استاد خوبی هستن ولی حتما باید بخونید جزوشون رو چون فیلم های آموزشی یا کتاب خیلی فرق میکنه
145,10.0, استاد خوبی هستن و کلاس هاشون بسیار مفرح هست و حتما توصیه میکنم با ایشون بر دارید
146,3.8333333333333335, اگه میخواید این درس رو بیوفتید با این استاد بردارید به شدت به دانشجو توهین میکنن و سخت گیر هستند و تقریبا همرو میندازن.
147,8.166666666666666, استاد خیلی خوبی هستن ولی باید خوده دانشجو تلاش کنه و سوالایه امتحانشون رو مثل جزوه میدن و اگه یکم تلاش کنید میتونید راحت پاس شید😁
148,4.0, ایشون هفته ای ۲تا گزارشکار میخواستن 
149,4.5, ایشون کلا نمره دادنش دل بخواهیه( نمره پایینی میدن)بنظر من برگه صحیح نمیکنن کسانی که معدل و نمره براشون مهمه برندارن
150,8.166666666666666, اصلا درس نمیده ،ازهفته قبل خودش مشخص میکنه باید بیای درس بدی خودت
151,4.166666666666667, شانسی نمره میدن و تدریسشون غیر قابل فهمه سعی کنین برندارین با ایشون
152,9.833333333333334, سوالاتشون خیلی خیلی راحته
153,9.666666666666666, استاد مودب و خوبیه . هر وقت سوال داشته باشی خیلی خوب جواب میده خیلی هم در تدریس مسلط و نرم
154,9.333333333333334, درکل استاد خوبی هستن و خیلی به دانشجو ها کمک کردن که نمره خوب بگیرن زمان امتحانو کم کردن که کسی تقلب نکنه ولی به همه بیشتر از حقشون نمره داد
155,9.0, بسیار خوب تدریس میکنن.
156,5.833333333333333, در کل استاد باسوادی هستند ولی نحوه برخورد استاد با دانشجو خیلی مناسب نیست
157,10.0, استاد بامعلوماتی هستن در طول ترم فعالیت نهاد جز ۵ نمره کلاسی هستش
158,8.5, سرکلاس خیلی جدی هستن
159,10.0, اگر تمام جلسات رو باشید و فعالیت در کلاس داشته باشید و مسائلی که
160,8.666666666666666, استاد خوبی هستن و با دانش . پیشنهاد میدم باهاشون بردارید
161,4.666666666666667, تا میتونید باهاشون درس برندارید
162,10.0, مطالب تدریس شده حجمش خیلی خیلی زیاده و نمره ای که گرفتم کمتر از حد انتظارم بود
163,1.8333333333333333, ***بد
164,10.0, استاد با ادب و مهربان و دلسوز
165,3.8333333333333335, استاد خوبی نیست، نمیشه نمره خوبی ازش بگیرید ، یه کتاب معرفی میکنه ۴۰۰ صفحه و یه پاورپوینت بدرد نخور باهاش برندارید که آخرسر پشیمون میشید
166,10.0, خیلی خوش برخورد و مهربان 
167,9.5, خیلی استاد خوبیه پیشنهاد میکنم بردارید
168,8.5, خیلی استاد با سوادی هستن و تبلیغاتی که بقیه دوستان کردند منصفانه نیست و نمره خوبی هم میدن اگه برا یادگیری سر کلاس میروید واقعا عالین
169,5.333333333333333, تنهاچیزی ک واسش مهمه اینه ک میکروفنتو وصل کنی صحبت کنی اگ نتونی میکروفن وصل کنی حرف بزنی نمره کم میکنه.۸۰٪ زمان کلاس ب بحثای حاشیه ای میره
170,9.0, فعالیت کلاسی خیلی براشون مهمه و نصف نمره پایانی رو از فعالیت کلاسی میدن
171,10.0, خیلی استاد با سواد و خوش برخوردی هستن‌ من که ازش بدی ندیدم واقعا
172,9.833333333333334, استاد خوبی هستن واسه درس مدار الکتریکی چون بقیه داغونن
173,8.166666666666666, سعی کنید زیاد حرف نزنید سر کلاس برای هر حرف اضافه ای منفی میگیرید. سوال هارو هم جواب نمیده
174,1.8333333333333333, به نظر من اگر میخواید اعصابتون در طول ترم بهم نریزه به هیچ عنوان با این استاد درسی رو ور ندارید واقعا با روح و روان آدم بازی میکنه
175,10.0, در همه ى ساعات پاسخگوى دانشجويان بوده كلاس خيلى گرم و صميمى
176,10.0, امتحان نداره فقط یه پروژه داره از درسایی که دادن و باید ارائه بدیم اگه داوطلبانه ارائه بدین ۲۰ میدن
177,10.0, كلاساش خيلى صميمى هستيم و گرم برگزار ميشه 
178,10.0, چندین کتاب معرفی می‌کنند که یکی رو میتونید انتخاب کنید
179,6.166666666666667, اگر بصورت صفر باشید چیز زیادی نمیشه یاد گرفت ازشون و حتما باید مطالعه از منابع دیگه داشته باشه 
180,9.0, ایشون استاد پری هستن و اطلاعات بالایی دارند اما به شدت بد نمره میدن
181,6.666666666666667, چندباری درطول کلاس حضورغیاب میکنن،جزوشون خیلی زیاده هرجلسه درس جلسه قبلومیپرسن همش درحال تدریسن من حیث المجموع تا میتونید کلاس برندارید
182,2.1666666666666665, استاد خوبے نیست میگن سوالے دارید بپرسیداگر هم ازشون سوال بپرسید عصبانے میشن و میگن قبلا توضیح دادن
183,10.0, به قدری این استاد عالی هستند که هر چه بگم کم گفتم، مهربان ، پر انرژی، شوخ ، با انصاف و نمره خودت رو میده وفرجه میده اگه نمرت کم بشه
184,4.0, استاد خوبی بود و با بچه ها تا اونجا که میشد راه اومد و امتحانم خوب و راحت برگزار شد ولی در طول ترم کلاس ها بار علمی چندانی نداشت.
185,5.666666666666667, منبعشون فقط کتاب قانونه ولی سوالاتشون اینطور نیست ترم قبل حضور غیاب براشون مهم نبود اما این ترم امتحانشون فقط ده نمره بود و یک سوال بود
186,6.333333333333333, استاد تعداد سوال بالا با تایم کم برای امتحان مجازی میدن و نمره هم اصلا حق نمیدن و بسیار پایین تر میدن
187,4.5, منظم نیست و درس نمیده کلا جزوه هم نمیگه😐 ولی ارائه میخواد که سخت نمیگیره و خوب نمره میده
188,10.0, دریک کلام عالی، بهترین 😍👌
189,1.0,  ***بد
190,9.833333333333334, استاد بسیار محترم و باسوادی هستن، با دانشجو‌ها با احترام برخورد میکنن، هر سوالی هم داشته باشین با صبر و حوصله توضیح میدن
191,9.333333333333334, خیلی مقرراتی هستن، اگر در طول ترم تمرین ها رو انجام و تحویل بدید، نمره ی خوبی می‌گیرید در غیر این صورت یا حذف میشید یا به سختی پاس میشید.
192,7.333333333333333, خیلی سختگیره ما کلا ۲هفته فرصت داشتیم برای تحویل ۸تا گزارش‌کار
193,6.5, درس دادنش و نمیفهمیدم خودم کتاب و خوندم یادگرفتم ولی ازنظر امتحان بهترین استاده،۱۰تا سوال از کتاب مشخص میکنه،۴تاش و میده بدون تغییر عدد
194,9.833333333333334, استادخیلی خوبیه،تمرین باید تحویل بدیم و نمره داره ولی تو نمره پایانی کمک میکنه،امتحانشم کامل از جزوه‌اس
195,9.0, استاد واقعا خوبیه یدونه کنفرانس کلا میخواد تو ترم اگه اونو بدین ۱۰۰ درصد پاس میشین
196,8.333333333333334, استاد بدی نیست ولی اگه نمره ی خوب بخواین باید تمام جلساتش رو شرکت کنین چون یسری نکات میگه و از همونا هم امتحان میگیره
197,2.5, ***بد
198,10.0, واقعا استاد عالییییییی از همه لحاظ نمره ی خیلی خوبی هم میشه گرفت
199,7.166666666666667, استاد خوبی هستن تقریبا ولی واقعن نیازه که برنامه نویسی رو از قبل بلد باشی درغیر این صورت نمره خوبی نمیشه ازشون گرفت
200,10.0, بیش از حد سر کلاس تایم میزاره واسه دانشجو ها و اینکه تا اخر تایمش درس میده و کلا ۱۰ دقیقه تایم استراحت داریم ولی در کل خیلی استاد خوبین
201,3.8333333333333335, سخت میشه پاس کرد کلاس های طولانی پرسش های مدوام بدون تدریس قبلی درس و کلاس ها حالت بازجویی از دانشجو داره که فقط نمره منفی بدن
202,9.5, بشدت پیشنهادش میکنم خیلی استاد خوبیه
203,7.333333333333333, استاد خوبیه .خوش رو هست ولی تدریسش .....
204,10.0, حتما باهاش کلاس بردارید پشیمون نمیشید
205,10.0, بسیار استاد دلسوز و با وجدانی هستند و تدریس عالی،تا وقتی چیزی رو متوجه نشید ازش نمیگذره و بسیار با حوصله هستند
206,5.0, ***بد
207,3.0, اگه خیلی درس خون و فعال باشید اذیتتون نمیکنه، در غیر این صورت تا میتونید کلاس برندارید باهاش.
208,4.833333333333333, خودتون بایدارائه بدین.و درآخربرای امتحان میگن‌از ارائتون سوال طرح کنید ودقیقاهمون سوالارومیده برای امتحان.باهاش برندارین:)
209,2.6666666666666665, ***بد
210,10.0, اگر با این استاد بردارید دیگر دلتان نمیخواهد ازش تا اخر سال جدا شوید
211,10.0, خیلی خیلی عالی هستن و  پر انرژییییی❤️❤️😍😍😍حتما باهاشون کلاس بر دارینننننننن
212,5.0, اگر به سلامت اعصاب و روانتون اهمیت میدید با این استاد بر ندارید
213,10.0, استاد خیلی فوق العاده ای هستن . تمامی مطالب و توضیح میدن . تایم کافی برای تحویل کار به ما میدن
214,10.0, چشم بسته بردارینش😉
215,7.0, درس خوب مدیریت خوب ولی اخلاق و برخورد با دانشجو و امتحان واقعا خیلی بده، مثل اینکه حضوری ایشون بهتر بودن ولی مجازی واقعا عوض شدن
216,9.333333333333334, استاد خوبیه، به حضور و غیاب توجه زیادی داره و امتحانش هم کپی جزواتش هست بدون تغییر ، برای نمره بالا گرفتن عالیه
217,10.0, خیلی استاد خوبیه داخل اولویت اولتون حتما باشه ، امتحانش هم کاملا شبیه جزوه هست ، همچنین تمرین میده سر کلاسم که نمره داره + تمرین برای خونه
218,10.0, خیلی استاد خوبیه یه پی دی اف میده از روی اون تدریس میکنه و امتحان هم از همون کتابه. حتما باهاشون کلاس بردارید. خیلی خوشاخلاق و خوش برخورد.
219,10.0, اگه میخواین قرآن رو بدون دردسر پاس بشین بهتون پیشنهاد میکنم.
220,9.333333333333334, باهاش مجازی بردارید خوب بود ب راحتی با بهترین نمره پاس شید
221,10.0, اگه برای هر درسی اسم ایشونو دیدید واحد برداشتنو باهاش از دست ندید😉
222,7.666666666666667, اگه درس خوبید باهاشون بردارید تو درس دادن فوق العااااادس...حتما تو کار کلاسی مشارکت داشته باشید تا بتونید پاس شید ....عالی درس میده....
223,9.666666666666666, آقای دانش پژوه بهترین استاد این ترم من بودن
224,9.333333333333334, 
225,9.833333333333334, امتحان  تستي بود و ۱۵ تا سوال که راحت بودو اگرحداقل ۸میگرفتی۵ نمره هم خودشون میدادن و  مطالب رو تو جزوه کامل مشخص کردن از همونا اومد. عالین.
226,4.833333333333333, ***
227,10.0, استاد خیلی خوبین ولی نمیدونم چرا نمره کلاسی به من کم دادن بااین که تمام کلاس ها بودم و کار عملی ارائه دادم
228,9.666666666666666, در طول ترم يه دوره نهاد بايدبگذرونيم كه ٨ نمره داره ولي برا امتحان ١٠ تا سوال ميده كه ٦تاش مياد و خوبه
229,8.166666666666666, ايشون استاد خوبين ولي امتحاناشون خيلي وقت گيره به صورتيه كه همه وقت كم اوردن و استرس گرفتن.
230,9.666666666666666, استاد بسیار محترمی هستن.
231,7.833333333333333, خیلی  سرکلاسش حتما باید آنلاین باشی و از تک تک بچه ها میخواد میکروفن وصل کنن و نمره میذاره بابتش
232,9.333333333333334, درسته تو کلاس سخت میگیره. پرسش پاسخ هر جلسه هستش... اما امتحانش خیلی آسونه و خیلی منصفانس حتی کسی هم حذف نکرده
233,1.0, بی نظم ترین استاد  مدام کلاس رو کنسل می‌کنه 
234,10.0, سوالات ۲۰ نمره ای پایان ترم استاد مشهوره البته اگه کسی بتونه جواب بده 
235,3.1666666666666665, با فرخ اگر برداری درس چیزی نمیفهمی ولی خب سوالاتش عین کتابه ولی خب نمیفهمی و نمیتونی حل کنب
236,5.333333333333333, استادی هستن که تقریبا چیز مفیدی سر کلاسش یاد نمیگیری
237,10.0, این استاد از هر نظری عالی هستن ، اخلاق ، احترام فوق العاده به دانشجو، نمره عالی، من خودم ار ایشون بیست گرفتم ، حتمااااا باهاش بردارید
238,5.666666666666667, استاد برای درس قرائت فقط ایشون من ۲۰ شدم
239,9.666666666666666, استاد یه کتاب معرفی میکنند و بخش هایی رو ازش درس میدن ...رفتار استاد عالییه خیلی مهربونن😍 
240,10.0, استاد خیلی خوب و محترمی هستن حتما پیشنهاد میکنم با ایشون بردارید
